quantity,null_name,scenario,alt_type,level,statistic,estimate,mc_se,num_replicates,alpha,critical_value,success_rate,error_rate,mean_value,median_value,n,n_eval_source,n_solve,base_seed
empirical power,truncated_gaussian,power,scale,1.025,potential,0.102,0.013534843922262273,500,0.05,1.9801363445849376,0.27,0.0,1.4540213092480516,1.3773723059003178,1000,5000,5000,2026
empirical power,truncated_gaussian,power,scale,1.025,w2,0.154,0.01614211882003103,500,0.05,0.0572042510027439,0.27,0.0,0.05404922355307531,0.05358539706807945,1000,5000,5000,2026
empirical power,truncated_gaussian,power,scale,1.05,mmd,0.664,0.02112363605064242,500,0.05,0.0004331808497901,1.0,0.0,0.0006099367003834521,0.0005758335822659501,1000,5000,5000,2026
empirical power,truncated_gaussian,power,scale,1.05,potential,0.136,0.01532997064576446,500,0.05,1.9801363445849376,0.252,0.0,1.5522229309811846,1.4945770098106403,1000,5000,5000,2026
empirical power,truncated_gaussian,power,scale,1.05,w2,0.54,0.022289010745208053,500,0.05,0.0572042510027439,0.252,0.0,0.05808242179252004,0.05764328377979025,1000,5000,5000,2026
empirical power,truncated_gaussian,power,scale,1.075,mmd,0.978,0.006559878047646925,500,0.05,0.0004331808497901,1.0,0.0,0.0012992345886567503,0.0012597758977181501,1000,5000,5000,2026
empirical power,truncated_gaussian,power,scale,1.075,potential,0.21,0.01821537811850196,500,0.05,1.9801363445849376,0.258,0.0,1.730019910514612,1.6738237138951555,1000,5000,5000,2026
empirical power,truncated_gaussian,power,scale,1.075,w2,0.982,0.005945754788082,500,0.05,0.0572042510027439,0.258,0.0,0.06465840916427988,0.0644874957738835,1000,5000,5000,2026
empirical power,truncated_gaussian,power,scale,1.1,mmd,1.0,0.0,500,0.05,0.0004331808497901,1.0,0.0,0.002217812746881046,0.0021273785328683,1000,5000,5000,2026
empirical power,truncated_gaussian,power,scale,1.1,potential,0.416,0.02204286732709699,500,0.05,1.9801363445849376,0.228,0.0,1.9367615163279452,1.8925834492240647,1000,5000,5000,2026
empirical power,truncated_gaussian,power,scale,1.1,w2,1.0,0.0,500,0.05,0.0572042510027439,0.228,0.0,0.07295221734940019,0.07225005040168565,1000,5000,5000,2026
empirical power,truncated_gaussian,power,scale,1.15,mmd,1.0,0.0,500,0.05,0.0004331808497901,1.0,0.0,0.0047254360290338365,0.0046609883283552,1000,5000,5000,2026
empirical power,truncated_gaussian,power,scale,1.15,potential,0.964,0.008331146379700699,500,0.05,1.9801363445849376,0.22,0.0,2.495874999555621,2.4573207351152213,1000,5000,5000,2026
empirical power,truncated_gaussian,power,scale,1.15,w2,1.0,0.0,500,0.05,0.0572042510027439,0.22,0.0,0.0977263403685784,0.0976383863944226,1000,5000,5000,2026
empirical power,truncated_gaussian,power,scale,1.2,mmd,1.0,0.0,500,0.05,0.0004331808497901,1.0,0.0,0.007944314173968937,0.007994120894311351,1000,5000,5000,2026
empirical power,truncated_gaussian,power,scale,1.2,potential,1.0,0.0,500,0.05,1.9801363445849376,0.214,0.0,3.07964071392973,3.052928133756078,1000,5000,5000,2026
empirical power,truncated_gaussian,power,scale,1.2,w2,1.0,0.0,500,0.05,0.0572042510027439,0.214,0.0,0.13024534424890868,0.12994354699296065,1000,5000,5000,2026
empirical power,uniform_ball,power,location_shift,0.05,mmd,0.688,0.020719845559269985,500,0.05,0.000342243919253,1.0,0.0,0.0006450700999870173,0.0005889462611773999,1000,5000,5000,2026
empirical power,uniform_ball,power,location_shift,0.05,potential,0.678,0.020895741192884256,500,0.05,0.6061410082729104,0.53,0.0,0.6970679257686175,0.706750404546975,1000,5000,5000,2026
empirical power,uniform_ball,power,location_shift,0.05,w2,0.74,0.019616319736382767,500,0.05,0.0147685468406878,0.53,0.0,0.015862317136805058,0.015763448520585498,1000,5000,5000,2026
empirical power,uniform_ball,power,location_shift,0.1,mmd,1.0,0.0,500,0.05,0.000342243919253,1.0,0.0,0.002857023507959477,0.0027273441745978002,1000,5000,5000,2026
empirical power,uniform_ball,power,location_shift,0.1,potential,1.0,0.0,500,0.05,0.6061410082729104,0.46,0.0,1.2402055962712981,1.229581358571374,1000,5000,5000,2026
empirical power,uniform_ball,power,location_shift,0.1,w2,1.0,0.0,500,0.05,0.0147685468406878,0.46,0.0,0.023419911061481283,0.0231152553899879,1000,5000,5000,2026
empirical power,uniform_ball,power,location_shift,0.15,mmd,1.0,0.0,500,0.05,0.000342243919253,1.0,0.0,0.006392207017328648,0.006320429493159399,1000,5000,5000,2026
empirical power,uniform_ball,power,location_shift,0.15,potential,1.0,0.0,500,0.05,0.6061410082729104,0.398,0.0,1.8037100119394458,1.8050821242721278,1000,5000,5000,2026
empirical power,uniform_ball,power,location_shift,0.15,w2,1.0,0.0,500,0.05,0.0147685468406878,0.398,0.0,0.03556780606951427,0.03547044231118325,1000,5000,5000,2026
empirical power,uniform_ball,power,location_shift,0.2,mmd,1.0,0.0,500,0.05,0.000342243919253,1.0,0.0,0.011697671255440814,0.01154256814454975,1000,5000,5000,2026
empirical power,uniform_ball,power,location_shift,0.2,potential,1.0,0.0,500,0.05,0.6061410082729104,0.324,0.0,2.4157146878384985,2.404194975810239,1000,5000,5000,2026
empirical power,uniform_ball,power,location_shift,0.2,w2,1.0,0.0,500,0.05,0.0147685468406878,0.324,0.0,0.05382672687500869,0.0533024853069691,1000,5000,5000,2026
empirical power,uniform_ball,power,location_shift,0.25,mmd,1.0,0.0,500,0.05,0.000342243919253,1.0,0.0,0.01797061727374128,0.01796724074833515,1000,5000,5000,2026
empirical power,uniform_ball,power,location_shift,0.25,potential,1.0,0.0,500,0.05,0.6061410082729104,0.236,0.0,2.9869387297879966,2.9843306355448096,1000,5000,5000,2026
empirical power,uniform_ball,power,location_shift,0.25,w2,1.0,0.0,500,0.05,0.0147685468406878,0.236,0.0,0.07586318655880382,0.0759163989974061,1000,5000,5000,2026
empirical power,uniform_ball,power,location_shift,0.3,mmd,1.0,0.0,500,0.05,0.000342243919253,1.0,0.0,0.02566247007785605,0.02544279774619245,1000,5000,5000,2026
empirical power,uniform_ball,power,location_shift,0.3,potential,1.0,0.0,500,0.05,0.6061410082729104,0.156,0.0,3.5702653221566787,3.5663645077379504,1000,5000,5000,2026
empirical power,uniform_ball,power,location_shift,0.3,w2,1.0,0.0,500,0.05,0.0147685468406878,0.156,0.0,0.10311365253130479,0.10260844406432375,1000,5000,5000,2026
empirical power,uniform_ball,power,mixture_contamination,0.01,mmd,0.068,0.011258419071965654,500,0.05,0.000342243919253,1.0,0.0,-6.312820243205697e-05,-0.0001019313530764,1000,5000,5000,2026
empirical power,uniform_ball,power,mixture_contamination,0.01,potential,0.05,0.009746794344808964,500,0.05,0.6061410082729104,0.45,0.0,0.40842675127081624,0.39705161959045954,1000,5000,5000,2026
empirical power,uniform_ball,power,mixture_contamination,0.01,w2,0.062,0.010784804124322332,500,0.05,0.0147685468406878,0.45,0.0,0.013464108585548026,0.0133462690452421,1000,5000,5000,2026
