scenario,alternative,theta,replicate,seed,reject,T,centered_l1,success,status,message,nit,fun,grad_inf,critical_value,runtime_seconds,error_message
mixture_contamination,(1 - theta) mu0 + theta Law(X + 0.5 e1),0.1,56,402536,True,0.7651574382651418,0.02419640273537524,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2902361470410563,0.0004000000000000001,0.587476198675121,7.9568352699279785,
mixture_contamination,(1 - theta) mu0 + theta Law(X + 0.5 e1),0.25,56,402537,True,1.6267247476936826,0.051441553288747756,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2811373562037351,0.0004000000000000001,0.587476198675121,7.96046257019043,
mixture_contamination,(1 - theta) mu0 + theta Law(X + 0.5 e1),0.5,56,402538,True,2.5302497933912944,0.08001352396286948,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2668411152041261,0.0004000000000000001,0.587476198675121,7.999430179595947,
null,null,0.0,57,302083,False,0.3337638715837102,0.010554540348804745,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2937935719495082,0.00019999999999999998,0.587476198675121,7.959028244018555,
location_shift,Y = X + theta e1,0.1,57,402539,True,1.3950479787517642,0.04411529058069756,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2873288493455074,0.00019999999999999998,0.587476198675121,8.038423538208008,
location_shift,Y = X + theta e1,0.25,57,402540,True,2.84718768835451,0.09003598021189918,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2652232716181099,0.00019999999999999998,0.587476198675121,7.959937810897827,
location_shift,Y = X + theta e1,0.5,57,402541,True,5.956475233006948,0.18836028562684115,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.16872528934240824,0.00039999999999999996,0.587476198675121,8.117264747619629,
scale,Y = (1 + theta) X,0.1,57,402542,False,0.4737713424347869,0.0149819653220951,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.28984609191983624,0.00039999999999999996,0.587476198675121,7.95846700668335,
scale,Y = (1 + theta) X,0.25,57,402543,True,1.1626123355375235,0.03676503016106495,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.26936451003960915,0.0004000000000000001,0.587476198675121,7.92138147354126,
scale,Y = (1 + theta) X,0.5,57,402544,True,1.8122194169505976,0.057307409775462406,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.21435987690997135,0.00039999999999999996,0.587476198675121,7.92074179649353,
mixture_contamination,(1 - theta) mu0 + theta Law(X + 0.5 e1),0.1,57,402545,False,0.5529616268079861,0.01748618199385259,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2912837376493758,0.0004000000000000001,0.587476198675121,7.958402633666992,
mixture_contamination,(1 - theta) mu0 + theta Law(X + 0.5 e1),0.25,57,402546,True,1.7032983802335777,0.05386302416413629,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2798265865942706,0.00039999999999999996,0.587476198675121,7.9593095779418945,
mixture_contamination,(1 - theta) mu0 + theta Law(X + 0.5 e1),0.5,57,402547,True,3.1216791767756282,0.09871616322930386,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.25756197312641826,0.0004000000000000001,0.587476198675121,7.996068716049194,
null,null,0.0,58,302084,False,0.34416895317273494,0.010883577919416769,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2934475446684197,0.0004000000000000001,0.587476198675121,7.958539724349976,
location_shift,Y = X + theta e1,0.1,58,402548,True,1.1994824091625325,0.03793096426259624,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.28779210603960376,0.0004000000000000001,0.587476198675121,7.958943128585815,
location_shift,Y = X + theta e1,0.25,58,402549,True,3.429391280544399,0.10844687434441785,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.25465988361420594,0.0004000000000000001,0.587476198675121,7.997443914413452,
location_shift,Y = X + theta e1,0.5,58,402550,True,6.352569294417648,0.20088587964408533,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.1560174093807392,0.00019999999999999998,0.587476198675121,8.076759815216064,
scale,Y = (1 + theta) X,0.1,58,402551,False,0.5331135377844594,0.01685853030869127,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2895520941773101,0.00019999999999999998,0.587476198675121,7.960273504257202,
scale,Y = (1 + theta) X,0.25,58,402552,True,1.0213264461199276,0.032297178043042114,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2735820140969893,0.0004000000000000001,0.587476198675121,7.960439443588257,
scale,Y = (1 + theta) X,0.5,58,402553,True,1.7950132041533207,0.05676330155201308,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.21567230618209957,0.00039999999999999996,0.587476198675121,7.9671690464019775,
mixture_contamination,(1 - theta) mu0 + theta Law(X + 0.5 e1),0.1,58,402554,True,0.6404187855333787,0.02025182018644368,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2912774224127715,0.00039999999999999996,0.587476198675121,7.958022356033325,
