Python executable: /burg-archive/home/ss6574/.conda/envs/ot-exp/bin/python
Python version: 3.11.15 | packaged by conda-forge | (main, Mar  5 2026, 16:45:40) [GCC 14.3.0]
otexp package: /burg-archive/home/ss6574/L1-rates-ot-potentials/src/otexp/__init__.py
Running new_d dimension d=2, task=0
[trial] d=2, n=300, b=93/100, runtime=15.36s, success=True, nit=388, nfev=391
[trial] d=2, n=300, b=94/100, runtime=15.60s, success=True, nit=391, nfev=395
[trial] d=2, n=300, b=95/100, runtime=10.46s, success=True, nit=263, nfev=266
[trial] d=2, n=300, b=96/100, runtime=23.77s, success=True, nit=593, nfev=606
[trial] d=2, n=300, b=97/100, runtime=11.94s, success=True, nit=299, nfev=304
[trial] d=2, n=300, b=98/100, runtime=11.59s, success=True, nit=291, nfev=295
[trial] d=2, n=300, b=99/100, runtime=12.18s, success=True, nit=307, nfev=310
[trial] d=2, n=300, b=100/100, runtime=9.37s, success=True, nit=234, nfev=238
[trial] d=2, n=1000, b=1/100, runtime=90.08s, success=True, nit=730, nfev=741
[trial] d=2, n=1000, b=2/100, runtime=113.23s, success=False, nit=1000, nfev=1003
[trial] d=2, n=1000, b=3/100, runtime=77.94s, success=True, nit=693, nfev=696
[trial] d=2, n=1000, b=4/100, runtime=77.04s, success=True, nit=686, nfev=689
[trial] d=2, n=1000, b=5/100, runtime=59.09s, success=True, nit=524, nfev=527
[trial] d=2, n=1000, b=6/100, runtime=112.18s, success=False, nit=1000, nfev=1003
[trial] d=2, n=1000, b=7/100, runtime=54.83s, success=True, nit=444, nfev=447
[trial] d=2, n=1000, b=8/100, runtime=127.43s, success=False, nit=1000, nfev=1004
[trial] d=2, n=1000, b=9/100, runtime=122.44s, success=True, nit=965, nfev=968
[trial] d=2, n=1000, b=10/100, runtime=72.33s, success=True, nit=569, nfev=572
[trial] d=2, n=1000, b=11/100, runtime=127.09s, success=False, nit=1000, nfev=1004
[trial] d=2, n=1000, b=12/100, runtime=102.52s, success=True, nit=893, nfev=896
[trial] d=2, n=1000, b=13/100, runtime=65.87s, success=True, nit=571, nfev=575
[trial] d=2, n=1000, b=14/100, runtime=73.66s, success=True, nit=641, nfev=644
[trial] d=2, n=1000, b=15/100, runtime=113.71s, success=False, nit=1000, nfev=1003
[trial] d=2, n=1000, b=16/100, runtime=103.10s, success=True, nit=891, nfev=895
[trial] d=2, n=1000, b=17/100, runtime=96.66s, success=True, nit=830, nfev=833
[trial] d=2, n=1000, b=18/100, runtime=104.41s, success=True, nit=875, nfev=878
[trial] d=2, n=1000, b=19/100, runtime=111.64s, success=True, nit=868, nfev=872
[trial] d=2, n=1000, b=20/100, runtime=53.03s, success=True, nit=405, nfev=408
[trial] d=2, n=1000, b=21/100, runtime=108.75s, success=True, nit=837, nfev=840
[trial] d=2, n=1000, b=22/100, runtime=112.67s, success=True, nit=863, nfev=867
[trial] d=2, n=1000, b=23/100, runtime=75.07s, success=True, nit=571, nfev=574
[trial] d=2, n=1000, b=24/100, runtime=85.28s, success=True, nit=652, nfev=655
[trial] d=2, n=1000, b=25/100, runtime=121.83s, success=True, nit=933, nfev=936
[trial] d=2, n=1000, b=26/100, runtime=101.19s, success=True, nit=772, nfev=776
[trial] d=2, n=1000, b=27/100, runtime=118.19s, success=True, nit=898, nfev=901
[trial] d=2, n=1000, b=28/100, runtime=83.79s, success=True, nit=637, nfev=640
[trial] d=2, n=1000, b=29/100, runtime=97.17s, success=True, nit=738, nfev=742
[trial] d=2, n=1000, b=30/100, runtime=95.16s, success=True, nit=734, nfev=737
[trial] d=2, n=1000, b=31/100, runtime=95.81s, success=True, nit=743, nfev=746
[trial] d=2, n=1000, b=32/100, runtime=95.80s, success=True, nit=740, nfev=743
[trial] d=2, n=1000, b=33/100, runtime=113.09s, success=True, nit=866, nfev=872
[trial] d=2, n=1000, b=34/100, runtime=117.50s, success=True, nit=904, nfev=908
[trial] d=2, n=1000, b=35/100, runtime=111.67s, success=True, nit=860, nfev=864
[trial] d=2, n=1000, b=36/100, runtime=92.33s, success=True, nit=711, nfev=714
